SubjectArea,Subject,SubjectStreamCode,SubjectStreamName,Band,Unit,UnitDescription,UnitASCode,AreaofStudy,Outcome,OutcomeCode,ExampleType,ContentType,ExampleText,ParentText,URLTitle,URL,Sequence
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Consider the most recent version of the World Food Programme's Hunger Map. Identify countries with a high or very high rate of undernourishment. Choose one of these countries and investigate how the WFP is working collaboratively to achieve SDG 2 Zero Hunger.,,,,28
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Watch the UNICEF video Building futures for every child, and consider: How is the UNICEF program contributing to the achievement of SDG 4? What other SDGs are being addressed by the UNICEF program?",,,,29
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KS,Activity,Bullet,Access the Gender Inequality Index to identify countries that are ranked poorly for gender quality. Suggest strategies that could be implemented in that country to help achieve SDG 5 Gender Equality.,,,,30
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Use the United Nations SDG 6 Factsheet and SDG 6 Infographic to discuss how many people do not have access to safe water and sanitation. Consider: Why is SDG 6 important and how does SDG 6 contribute to the achievement of SDG 3?,,,,31
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Watch the video Goal 12- Responsible consumption and production and outline the key features of this goal and how it relates to SDG 3.,,,,32
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Use the WHO website to investigate the WHO, including what the WHO is and the goal and objectives of the organisation.",,,,33
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Design a poster or a Facebook or Instagram page for the World Health Organisation; consider the following:,,,,34
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,An 'About' profile,Design a poster or a Facebook or Instagram page for the World Health Organisation; consider the following:,,,35
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"6-8 posts that include pictures and written statements to inform about WHO initiatives or programs, which is linked to their goal and objectives.",Design a poster or a Facebook or Instagram page for the World Health Organisation; consider the following:,,,36
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Using case studies of WHO programs or initiatives, such as Sudan emergency or In Chad, mobile clinics bring COVID-19 vaccinations to vulnerable groups or Nearly 10,000 children vaccinated as malaria vaccine rollout in Africa expands analyse how the WHO goal and objectives are reflected.",,,,37
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KS,Activity,Bullet,"Find and document case studies to identify types of aid (bilateral, multilateral and non-government), including:",,,,38
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Identification of the purpose of the aid,"Find and document case studies to identify types of aid (bilateral, multilateral and non-government), including:",,,39
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Listing the characteristics of each type of aid,"Find and document case studies to identify types of aid (bilateral, multilateral and non-government), including:",,,40
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Analysis of the effectiveness of the aid in providing humanitarian assistance, reducing poverty, improving human development and promoting health.","Find and document case studies to identify types of aid (bilateral, multilateral and non-government), including:",,,41
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Create a PMI (plus, minus, interesting) chart for each of the types of aid (bilateral, multilateral and non-government).",,,,42
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,"Australia gives multilateral aid to the United Nations. In groups, visit the United Nations to investigate a key issue that the UN has a focus on. Report back to class on how supporting and working towards this key issue could improve overall health and wellbeing of individuals and communities.",,,,43
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Research Australia's aid budget highlights on the Department of Foreign Affairs and Trade website and discuss:,,,,44
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,How the budget reflects each type of aid and the partnerships involved,Research Australia's aid budget highlights on the Department of Foreign Affairs and Trade website and discuss:,,,45
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,How the budget contributes to the achievement of the SDGs.,Research Australia's aid budget highlights on the Department of Foreign Affairs and Trade website and discuss:,,,46
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Consider where the Department of Foreign Affairs and Trade delivers Australia's aid program and select four countries to investigate further. Discuss:,,,,47
Health and Physical Education,Health and Human Development,,,Year 12,Unit 4,Health and human development in a global context,VCEHHDU4AS2,Area of Study 2 - Health and the Sustainable Development Goals,Outcome 2,VCEHHDU4AS2O2KK,Activity,Bullet,Which regions does Australia's aid program focus on?,Consider where the Department of Foreign Affairs and Trade delivers Australia's aid program and select four countries to investigate further. Discuss:,,,48
